Created on 10-31-2018,http://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume From,Volume To
2018-10-31 12-AM,LTCUSD,49.33,49.33,49.33,49.33,0.0,0.0
2018-10-30 11-PM,LTCUSD,49.24,49.48,49.21,49.33,460.87,22765.19
2018-10-30 10-PM,LTCUSD,49.11,49.51,49.08,49.24,2249.36,111110.7
2018-10-30 09-PM,LTCUSD,49.2,49.2,48.97,49.11,2792.73,137051.98
2018-10-30 08-PM,LTCUSD,49.08,49.23,49.05,49.2,334.05,16413.01
2018-10-30 07-PM,LTCUSD,49.23,49.28,49.07,49.08,521.65,25647.31
2018-10-30 06-PM,LTCUSD,49.26,49.3,48.99,49.23,1549.9,76094.73
2018-10-30 05-PM,LTCUSD,49.25,49.33,49.2,49.26,652.15,32112.09
2018-10-30 04-PM,LTCUSD,49.61,49.63,49.23,49.25,1717.37,84847.62
2018-10-30 03-PM,LTCUSD,49.59,49.66,49.55,49.61,174.98,8676.34
2018-10-30 02-PM,LTCUSD,49.71,49.77,49.59,49.59,614.01,30518.12
2018-10-30 01-PM,LTCUSD,49.67,49.75,49.53,49.71,451.04,22396.74
2018-10-30 12-PM,LTCUSD,49.63,49.78,49.57,49.67,443.99,22060.25
2018-10-30 11-AM,LTCUSD,49.67,49.69,49.45,49.63,2902.67,143843.99
2018-10-30 10-AM,LTCUSD,49.58,49.67,49.58,49.67,467.14,23188.05
2018-10-30 09-AM,LTCUSD,49.61,49.69,49.51,49.58,861.52,42718.68
2018-10-30 08-AM,LTCUSD,49.73,49.73,49.46,49.61,1809.23,89770.82
2018-10-30 07-AM,LTCUSD,49.8,49.96,49.7,49.73,2660.63,132499.96
2018-10-30 06-AM,LTCUSD,49.61,49.85,49.61,49.8,4093.49,203633.74
2018-10-30 05-AM,LTCUSD,49.61,49.67,49.51,49.61,859.51,42634.99
2018-10-30 04-AM,LTCUSD,49.35,49.65,49.35,49.61,1662.44,82400.4
2018-10-30 03-AM,LTCUSD,49.3,49.4,49.28,49.35,1478.64,72969.11
2018-10-30 02-AM,LTCUSD,49.23,49.37,49.2,49.3,957.74,47180.13
2018-10-30 01-AM,LTCUSD,49.23,49.29,49.16,49.23,293.43,14446.91
2018-10-30 12-AM,LTCUSD,49.13,49.3,49.13,49.23,1941.25,95552.75
2018-10-29 11-PM,LTCUSD,49.41,49.43,49.13,49.13,842.46,41521.14
2018-10-29 10-PM,LTCUSD,48.95,49.44,48.95,49.41,1389.26,68252.27
2018-10-29 09-PM,LTCUSD,49.24,49.29,48.84,48.95,4019.15,196923.21
2018-10-29 08-PM,LTCUSD,49.28,49.41,49.21,49.24,675.1,33299.98
2018-10-29 07-PM,LTCUSD,49.61,49.61,49.11,49.28,1773.7,87461.14
2018-10-29 06-PM,LTCUSD,49.49,49.63,49.47,49.61,1079.08,53507.89
2018-10-29 05-PM,LTCUSD,49.42,49.64,49.31,49.49,2227.4,110293.17
2018-10-29 04-PM,LTCUSD,49.62,49.62,49.2,49.42,4273.52,210966.83
2018-10-29 03-PM,LTCUSD,49.53,49.75,49.49,49.62,1181.07,58566.8
