Created on 10-31-2018,http://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume From,Volume To
2018-10-31 12-AM,BTCUSD,6330,6332.9,6330,6332.9,0.0,0.0
2018-10-30 11-PM,BTCUSD,6315,6330.1,6315,6330,141.23,893316.6
2018-10-30 10-PM,BTCUSD,6320,6337.6,6302,6315,1255.92,7934981.08
2018-10-30 09-PM,BTCUSD,6333,6339.6,6311.1,6320,1420.03,8980585.59
2018-10-30 08-PM,BTCUSD,6324.1,6335.06,6320.8,6333,530.1,3352847.3
2018-10-30 07-PM,BTCUSD,6336.55,6342.6,6320.9,6324.1,520.21,3292816.53
2018-10-30 06-PM,BTCUSD,6337.9,6344.2,6325,6336.55,436.33,2763275.01
2018-10-30 05-PM,BTCUSD,6333,6342.06,6332.9,6337.9,285.03,1806290.26
2018-10-30 04-PM,BTCUSD,6354.36,6354.4,6332.9,6333,1338.99,8488278.25
2018-10-30 03-PM,BTCUSD,6349.14,6355.2,6344.9,6354.36,487.99,3098591.37
2018-10-30 02-PM,BTCUSD,6358.75,6360.8,6348.1,6349.14,264.86,1682127.92
2018-10-30 01-PM,BTCUSD,6360.9,6361.9,6355.5,6358.75,171.25,1088901.8
2018-10-30 12-PM,BTCUSD,6355.3,6370.5,6355.2,6360.9,163.19,1038268.98
2018-10-30 11-AM,BTCUSD,6352.2,6355.3,6345,6355.3,315.52,2003293.4
2018-10-30 10-AM,BTCUSD,6344.22,6353.4,6344.2,6352.2,319.82,2030680.88
2018-10-30 09-AM,BTCUSD,6348.2,6349.9,6342.1,6344.22,418.22,2654503.33
2018-10-30 08-AM,BTCUSD,6368.9,6372.9,6347.5,6348.2,213.55,1357297.68
2018-10-30 07-AM,BTCUSD,6375.4,6383.6,6362.8,6368.9,242.69,1546930.88
2018-10-30 06-AM,BTCUSD,6363.3,6375.4,6363.3,6375.4,317.89,2025131.61
2018-10-30 05-AM,BTCUSD,6380,6380,6360.1,6363.3,190.71,1215010.56
2018-10-30 04-AM,BTCUSD,6364.3,6380.5,6362.1,6380,77.4,493480.96
2018-10-30 03-AM,BTCUSD,6355,6374.6,6353.8,6364.3,806.91,5132926.21
2018-10-30 02-AM,BTCUSD,6351.29,6366.6,6345.1,6355,285.08,1812023.1
2018-10-30 01-AM,BTCUSD,6357.24,6359.5,6341.4,6351.29,373.93,2374747.4
2018-10-30 12-AM,BTCUSD,6346.5,6358.6,6346.5,6357.24,180.39,1146034.36
2018-10-29 11-PM,BTCUSD,6342,6346.6,6339.9,6346.5,117.61,745885.54
2018-10-29 10-PM,BTCUSD,6321.4,6342.1,6320.8,6342,275.1,1741695.19
2018-10-29 09-PM,BTCUSD,6330,6339.7,6320.8,6321.4,806.55,5099395.18
2018-10-29 08-PM,BTCUSD,6342.5,6348.3,6320.8,6330,324.25,2054475.09
2018-10-29 07-PM,BTCUSD,6354,6354,6329,6342.5,398.11,2523547.61
2018-10-29 06-PM,BTCUSD,6348.09,6354,6348,6354,106.8,678162.34
2018-10-29 05-PM,BTCUSD,6370.5,6371.5,6344.9,6348.09,708.51,4502652.07
2018-10-29 04-PM,BTCUSD,6380.41,6380.41,6359,6370.5,1175.13,7483536.91
2018-10-29 03-PM,BTCUSD,6364.1,6380.5,6364.1,6380.41,475.5,3029474.17
2018-10-29 02-PM,BTCUSD,6371.1,6380.7,6349.5,6364.1,1059.96,6741185.13
2018-10-29 01-PM,BTCUSD,6353.3,6386.7,6353.3,6371.1,698.28,4447035.53
2018-10-29 12-PM,BTCUSD,6429.5,6429.5,6320.8,6353.3,4302.93,27414607.35
2018-10-29 11-AM,BTCUSD,6493.89,6497.9,6410,6429.5,5334.43,34338595.06
2018-10-29 10-AM,BTCUSD,6480.7,6495,6480.62,6493.89,270.31,1754530.67
2018-10-29 09-AM,BTCUSD,6494.2,6494.3,6480,6480.7,222.4,1443067.55
2018-10-29 08-AM,BTCUSD,6495.6,6500.98,6491.5,6494.2,469.38,3049718.13
2018-10-29 07-AM,BTCUSD,6500.5,6500.9,6495.3,6495.6,201.78,1311340.47
2018-10-29 06-AM,BTCUSD,6497.7,6502.9,6495.2,6500.5,191.29,1243289.07
2018-10-29 05-AM,BTCUSD,6494.8,6499.8,6494.8,6497.7,273.62,1777391.28
2018-10-29 04-AM,BTCUSD,6499.3,6500.7,6494.7,6494.8,384.14,2496577.65
2018-10-29 03-AM,BTCUSD,6496.3,6503.9,6496.2,6499.3,847.16,5506009.04
2018-10-29 02-AM,BTCUSD,6482.5,6512,6482.5,6496.3,622.75,4045685.13
2018-10-29 01-AM,BTCUSD,6489.59,6489.6,6478,6482.5,161.5,1047009.68
2018-10-29 12-AM,BTCUSD,6490.1,6490.4,6487.7,6489.59,111.55,723894.87
2018-10-28 11-PM,BTCUSD,6471,6502.4,6471,6490.1,328.74,2132266.12
2018-10-28 10-PM,BTCUSD,6468.9,6472.5,6465.2,6471,110.07,712130.81
2018-10-28 09-PM,BTCUSD,6471.6,6472,6464,6468.9,81.09,524501.74
2018-10-28 08-PM,BTCUSD,6460.1,6472.6,6456.3,6471.6,250.59,1619571.04
2018-10-28 07-PM,BTCUSD,6475.4,6480.9,6451,6460.1,471.53,3047133.36
2018-10-28 06-PM,BTCUSD,6489.5,6489.6,6469.5,6475.4,348.02,2253938.81
2018-10-28 05-PM,BTCUSD,6485.2,6492.63,6480,6489.5,115.35,748245.06
2018-10-28 04-PM,BTCUSD,6474,6485.2,6468.3,6485.2,572.75,3707213.53
2018-10-28 03-PM,BTCUSD,6500,6500.1,6473.6,6474,881.8,5717993.17
2018-10-28 02-PM,BTCUSD,6502.1,6502.1,6494.4,6500,136.86,889479.22
2018-10-28 01-PM,BTCUSD,6492.2,6507,6491.2,6502.1,230.39,1497618.48
2018-10-28 12-PM,BTCUSD,6487.5,6494.4,6487.4,6492.2,154.96,1005946.15
2018-10-28 11-AM,BTCUSD,6485.7,6487.5,6479.5,6487.5,115.12,746501.53
2018-10-28 10-AM,BTCUSD,6486.1,6487.5,6473.9,6485.7,435.0,2818103.03
2018-10-28 09-AM,BTCUSD,6487.1,6491.2,6480.7,6486.1,132.47,859465.87
2018-10-28 08-AM,BTCUSD,6490,6491.4,6479.7,6487.1,688.85,4465000.02
2018-10-28 07-AM,BTCUSD,6495.1,6513.88,6483.7,6490,1148.58,7460185.14
2018-10-28 06-AM,BTCUSD,6510,6510.1,6495,6495.1,150.05,975814.87
2018-10-28 05-AM,BTCUSD,6501.2,6510.1,6499.6,6510,104.27,678478.29
2018-10-28 04-AM,BTCUSD,6493.2,6502.6,6493,6501.2,115.09,747835.31
2018-10-28 03-AM,BTCUSD,6499,6499.1,6488.7,6493.2,102.1,663081.6
2018-10-28 02-AM,BTCUSD,6494.7,6499.1,6494.6,6499,61.83,401755.12
2018-10-28 01-AM,BTCUSD,6494.6,6498.7,6493.5,6494.7,36.36,236189.26
2018-10-28 12-AM,BTCUSD,6500.2,6500.2,6493.6,6494.6,64.45,418737.1
2018-10-27 11-PM,BTCUSD,6495,6500.5,6491.3,6500.2,73.8,479436.31
2018-10-27 10-PM,BTCUSD,6500,6501.6,6480.3,6495,228.83,1485876.82
2018-10-27 09-PM,BTCUSD,6487.95,6500,6486.4,6500,112.04,727742.76
2018-10-27 08-PM,BTCUSD,6488.4,6492.5,6476.9,6487.95,538.98,3494266.47
2018-10-27 07-PM,BTCUSD,6483.1,6489,6483,6488.4,67.67,438982.56
2018-10-27 06-PM,BTCUSD,6490.6,6492,6483,6483.1,71.4,463246.05
2018-10-27 05-PM,BTCUSD,6495.7,6497.1,6482.81,6490.6,427.99,2777806.99
2018-10-27 04-PM,BTCUSD,6493.4,6495.7,6480.1,6495.7,372.76,2418043.2
2018-10-27 03-PM,BTCUSD,6502.5,6506.7,6480.1,6493.4,838.11,5444204.46
2018-10-27 02-PM,BTCUSD,6510.2,6512.6,6492.7,6502.5,1179.69,7672321.1
2018-10-27 01-PM,BTCUSD,6528.6,6533.5,6510.1,6510.2,845.26,5508293.55
2018-10-27 12-PM,BTCUSD,6528.2,6528.6,6526.9,6528.6,51.64,337141.46
