Created on 10-31-2018,http://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume From,Volume To
2018-10-31 12-AM,ETHUSD,197.46,197.46,197.32,197.32,0.0,0.0
2018-10-30 11-PM,ETHUSD,197.09,198.15,197.08,197.46,3257.9,644554.38
2018-10-30 10-PM,ETHUSD,196.25,198.05,196.1,197.09,6382.48,1258493.27
2018-10-30 09-PM,ETHUSD,196.87,196.88,196.05,196.25,3426.36,673211.94
2018-10-30 08-PM,ETHUSD,196.06,197,195.93,196.87,4082.17,801543.2
2018-10-30 07-PM,ETHUSD,196.5,196.66,195.89,196.06,1594.84,313103.55
2018-10-30 06-PM,ETHUSD,197.05,197.05,195.91,196.5,3495.54,686713.74
2018-10-30 05-PM,ETHUSD,197.04,197.22,196.97,197.05,979.95,193127.08
2018-10-30 04-PM,ETHUSD,197.45,197.56,196.75,197.04,3122.85,615545.9
2018-10-30 03-PM,ETHUSD,197.59,197.59,197.33,197.45,1448.13,285890.12
2018-10-30 02-PM,ETHUSD,197.97,198.01,197.4,197.59,768.18,151931.84
2018-10-30 01-PM,ETHUSD,197.72,198.09,197.72,197.97,2030.26,401895.84
2018-10-30 12-PM,ETHUSD,197.55,198.03,197.55,197.72,3116.47,616429.19
2018-10-30 11-AM,ETHUSD,197.37,197.81,196.91,197.55,3732.9,736772.77
2018-10-30 10-AM,ETHUSD,197.29,197.52,197.25,197.37,1178.44,232610.69
2018-10-30 09-AM,ETHUSD,197.25,197.5,197.19,197.29,2984.55,588967.59
2018-10-30 08-AM,ETHUSD,197.81,197.82,196.9,197.25,5891.01,1161968.62
2018-10-30 07-AM,ETHUSD,198.2,199,197.52,197.81,10748.3,2130771.21
2018-10-30 06-AM,ETHUSD,197.63,198.36,197.63,198.2,1297.99,256932.49
2018-10-30 05-AM,ETHUSD,197.9,198,197.4,197.63,2961.06,585497.37
2018-10-30 04-AM,ETHUSD,197.33,197.9,197.32,197.9,1366.6,269949.8
2018-10-30 03-AM,ETHUSD,197.19,197.85,197.19,197.33,2379.86,470060.59
2018-10-30 02-AM,ETHUSD,196.91,197.3,196.84,197.19,2274.7,448235.83
2018-10-30 01-AM,ETHUSD,197.11,197.11,196.65,196.91,3137.14,617907.8
2018-10-30 12-AM,ETHUSD,196.91,197.5,196.9,197.11,3162.02,623770.71
2018-10-29 11-PM,ETHUSD,197.14,197.15,196.89,196.91,969.18,190899.3
2018-10-29 10-PM,ETHUSD,196.06,197.18,196.06,197.14,1881.28,369933.52
2018-10-29 09-PM,ETHUSD,196.17,196.4,195.76,196.06,3599.5,705266.94
2018-10-29 08-PM,ETHUSD,196.5,197.08,195.96,196.17,3318.32,652195.11
2018-10-29 07-PM,ETHUSD,197.31,197.38,195.97,196.5,5361.04,1053377.61
2018-10-29 06-PM,ETHUSD,197.02,197.37,197.01,197.31,1870.57,368798.87
2018-10-29 05-PM,ETHUSD,197.66,197.68,197,197.02,6283.61,1239989.35
2018-10-29 04-PM,ETHUSD,198.49,198.5,197.03,197.66,9087.12,1795097.43
2018-10-29 03-PM,ETHUSD,198.05,198.6,197.91,198.49,3947.97,782851.9
2018-10-29 02-PM,ETHUSD,198.4,198.45,197.8,198.05,4222.42,836711.7
2018-10-29 01-PM,ETHUSD,197.55,199.49,197.46,198.4,13084.72,2592794.19
2018-10-29 12-PM,ETHUSD,203.5,203.5,195.16,197.55,53501.0,10616628.9
2018-10-29 11-AM,ETHUSD,205.15,205.15,199.68,203.5,52342.91,10603949.43
2018-10-29 10-AM,ETHUSD,205.03,205.22,204.92,205.15,1664.53,341403.11
2018-10-29 09-AM,ETHUSD,205.03,205.07,204.91,205.03,2283.76,468175.11
2018-10-29 08-AM,ETHUSD,205.13,205.16,204.91,205.03,1556.28,319069.65
2018-10-29 07-AM,ETHUSD,205.14,205.15,205.03,205.13,974.04,199785.78
2018-10-29 06-AM,ETHUSD,205,205.17,204.98,205.14,857.75,175877.2
2018-10-29 05-AM,ETHUSD,205.04,205.26,204.9,205,1087.3,222916.24
2018-10-29 04-AM,ETHUSD,204.98,205.04,204.98,205.04,269.93,55336.9
2018-10-29 03-AM,ETHUSD,205.05,205.4,204.98,204.98,1931.7,396306.02
2018-10-29 02-AM,ETHUSD,205.18,205.49,205.05,205.05,1288.06,264363.88
2018-10-29 01-AM,ETHUSD,205.27,205.28,204.96,205.18,1170.9,240178.12
2018-10-29 12-AM,ETHUSD,204.97,205.35,204.52,205.27,1279.92,262407.6
2018-10-28 11-PM,ETHUSD,204.33,205.61,204.31,204.97,4416.82,905938.77
2018-10-28 10-PM,ETHUSD,203.95,204.34,203.94,204.33,382.98,78199.97
