Created on 10-31-2018,http://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume From,Volume To
2018-10-31 12-AM,LTCBTC,0.007795,0.007795,0.007795,0.007795,0.0,0.0
2018-10-30 11-PM,LTCBTC,0.0078,0.0078,0.007792,0.007795,80.84,0.6304
2018-10-30 10-PM,LTCBTC,0.007763,0.0078,0.007759,0.0078,112.66,0.8755
2018-10-30 09-PM,LTCBTC,0.007755,0.007768,0.007745,0.007763,458.0,3.55
2018-10-30 08-PM,LTCBTC,0.007762,0.007768,0.00775,0.007755,153.1,1.19
2018-10-30 07-PM,LTCBTC,0.007769,0.007769,0.00775,0.007762,57.62,0.4472
2018-10-30 06-PM,LTCBTC,0.00777,0.00777,0.00775,0.007769,51.18,0.397
2018-10-30 05-PM,LTCBTC,0.007764,0.00777,0.00776,0.00777,484.88,3.76
2018-10-30 04-PM,LTCBTC,0.007793,0.007808,0.007757,0.007764,2017.91,15.7
2018-10-30 03-PM,LTCBTC,0.007813,0.007815,0.007792,0.007793,343.21,2.68
2018-10-30 02-PM,LTCBTC,0.007815,0.007825,0.007813,0.007813,158.16,1.24
2018-10-30 01-PM,LTCBTC,0.007794,0.007815,0.007791,0.007815,284.34,2.22
2018-10-30 12-PM,LTCBTC,0.007802,0.007809,0.007792,0.007794,120.64,0.9408
2018-10-30 11-AM,LTCBTC,0.007811,0.007815,0.00779,0.007802,341.32,2.66
2018-10-30 10-AM,LTCBTC,0.007811,0.007822,0.007808,0.007811,298.91,2.34
2018-10-30 09-AM,LTCBTC,0.00781,0.007826,0.007806,0.007811,217.13,1.7
2018-10-30 08-AM,LTCBTC,0.007811,0.007815,0.007791,0.00781,233.6,1.82
2018-10-30 07-AM,LTCBTC,0.007815,0.007818,0.007803,0.007811,152.58,1.19
2018-10-30 06-AM,LTCBTC,0.007794,0.007815,0.007794,0.007815,458.99,3.58
2018-10-30 05-AM,LTCBTC,0.00777,0.007794,0.00777,0.007794,555.98,4.33
2018-10-30 04-AM,LTCBTC,0.007755,0.007779,0.007755,0.00777,326.22,2.54
2018-10-30 03-AM,LTCBTC,0.007758,0.007769,0.007745,0.007755,211.2,1.64
2018-10-30 02-AM,LTCBTC,0.007761,0.007767,0.007755,0.007758,36.48,0.2832
2018-10-30 01-AM,LTCBTC,0.007755,0.007763,0.007739,0.007761,332.49,2.58
2018-10-30 12-AM,LTCBTC,0.007754,0.007765,0.007744,0.007755,293.37,2.28
2018-10-29 11-PM,LTCBTC,0.007785,0.007787,0.007754,0.007754,185.3,1.44
2018-10-29 10-PM,LTCBTC,0.007732,0.007785,0.007732,0.007785,329.1,2.55
2018-10-29 09-PM,LTCBTC,0.007785,0.007785,0.007732,0.007732,519.9,4.03
2018-10-29 08-PM,LTCBTC,0.00777,0.007787,0.007767,0.007785,76.73,0.597
2018-10-29 07-PM,LTCBTC,0.0078,0.007809,0.007765,0.00777,1730.96,13.48
2018-10-29 06-PM,LTCBTC,0.007776,0.007808,0.007776,0.0078,435.46,3.4
2018-10-29 05-PM,LTCBTC,0.007759,0.0078,0.007748,0.007776,517.94,4.03
2018-10-29 04-PM,LTCBTC,0.007784,0.007784,0.007731,0.007759,362.93,2.81
2018-10-29 03-PM,LTCBTC,0.007793,0.007798,0.007773,0.007784,136.03,1.06
2018-10-29 02-PM,LTCBTC,0.007724,0.007809,0.007716,0.007793,1793.94,13.93
