Created on 09-06-2018,http://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume From,Volume To
2018-09-06 12-AM,ETHUSD,227.99,229.19,226.45,226.45,153.4,35083.7
2018-09-05 11-PM,ETHUSD,241.11,242.1,226,227.99,5279.33,1226921.0
2018-09-05 10-PM,ETHUSD,243.99,244.08,237.2,241.11,3381.94,810507.12
2018-09-05 09-PM,ETHUSD,245.6,246.98,242.74,243.99,493.25,120719.03
2018-09-05 08-PM,ETHUSD,243.23,246.11,242.92,245.6,1087.29,265791.17
2018-09-05 07-PM,ETHUSD,243.95,244.44,240.58,243.23,1238.37,300705.11
2018-09-05 06-PM,ETHUSD,242.81,245.55,241.98,243.95,1228.72,298968.55
2018-09-05 05-PM,ETHUSD,244.68,246.04,239.1,242.81,3523.12,852957.74
2018-09-05 04-PM,ETHUSD,255.82,256.78,242.22,244.68,7831.0,1953176.65
2018-09-05 03-PM,ETHUSD,259.09,259.48,253.06,255.82,1675.77,429521.17
2018-09-05 02-PM,ETHUSD,260.81,261.3,257.6,259.09,1459.74,378757.91
2018-09-05 01-PM,ETHUSD,257.84,261.47,257.24,260.81,868.01,225625.64
2018-09-05 12-PM,ETHUSD,257.19,260.06,256.6,257.84,1421.64,367078.58
2018-09-05 11-AM,ETHUSD,255.35,258.12,253,257.19,3648.8,933882.02
2018-09-05 10-AM,ETHUSD,266.52,268.3,251.21,255.35,8765.61,2287764.77
2018-09-05 09-AM,ETHUSD,283.68,283.86,265.7,266.52,3979.66,1077253.41
2018-09-05 08-AM,ETHUSD,283.77,284.71,283.01,283.68,326.85,92807.35
2018-09-05 07-AM,ETHUSD,284.37,284.58,283.04,283.77,333.93,94644.24
2018-09-05 06-AM,ETHUSD,285.03,285.17,283.76,284.37,328.96,93642.84
2018-09-05 05-AM,ETHUSD,283.98,285.08,283.46,285.03,442.13,125822.75
2018-09-05 04-AM,ETHUSD,284.66,284.84,283.02,283.98,232.06,65864.21
2018-09-05 03-AM,ETHUSD,285.44,285.44,283.76,284.66,269.58,76632.11
2018-09-05 02-AM,ETHUSD,287.09,287.55,285.44,285.44,273.15,78196.71
2018-09-05 01-AM,ETHUSD,287.45,287.51,286.23,287.09,5157.37,1481108.32
2018-09-05 12-AM,ETHUSD,285.22,287.48,285.22,287.45,149.39,42798.99
2018-09-04 11-PM,ETHUSD,285.38,285.68,284.63,285.22,119.53,34086.98
2018-09-04 10-PM,ETHUSD,284.9,285.49,284.12,285.38,565.37,161102.13
2018-09-04 09-PM,ETHUSD,285.76,286.71,284.27,284.9,199.81,57076.25
2018-09-04 08-PM,ETHUSD,283.68,285.9,282,285.76,423.59,120345.06
2018-09-04 07-PM,ETHUSD,285.96,286.51,282.48,283.68,1259.29,358710.45
2018-09-04 06-PM,ETHUSD,288.71,289.57,285.44,285.96,425.08,122160.85
2018-09-04 05-PM,ETHUSD,288.45,289.18,287.22,288.71,536.52,154414.28
2018-09-04 04-PM,ETHUSD,288.91,289.29,287.51,288.45,619.34,178691.88
2018-09-04 03-PM,ETHUSD,288.77,290.38,287.74,288.91,900.08,259759.51
2018-09-04 02-PM,ETHUSD,289.02,290.9,288.44,288.77,373.19,108066.73
2018-09-04 01-PM,ETHUSD,289.22,289.82,287.31,289.02,1043.37,300666.95
2018-09-04 12-PM,ETHUSD,288.37,292.29,288.15,289.22,2198.86,639016.69
2018-09-04 11-AM,ETHUSD,286.56,288.84,286.56,288.37,1356.67,390509.7
2018-09-04 10-AM,ETHUSD,285.8,287.04,285.44,286.56,398.42,114004.17
2018-09-04 09-AM,ETHUSD,285.57,286.06,285,285.8,368.09,105102.57
2018-09-04 08-AM,ETHUSD,286.86,287.46,284.98,285.57,712.74,203870.4
2018-09-04 07-AM,ETHUSD,285.8,286.89,284.82,286.86,839.97,240348.88
