Created on 09-06-2018,http://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume From,Volume To
2018-09-06 12-AM,LTCBTC,0.008634,0.008634,0.008581,0.008581,15.0,0.1293
2018-09-05 11-PM,LTCBTC,0.008684,0.008684,0.008544,0.008634,1442.47,12.45
2018-09-05 10-PM,LTCBTC,0.00868,0.008684,0.00868,0.008684,7.06,0.06126
2018-09-05 09-PM,LTCBTC,0.0087,0.008715,0.00867,0.00868,76.83,0.6678
2018-09-05 08-PM,LTCBTC,0.008635,0.0087,0.008635,0.0087,50.96,0.4418
2018-09-05 07-PM,LTCBTC,0.00867,0.00867,0.008635,0.008635,160.09,1.39
2018-09-05 06-PM,LTCBTC,0.008745,0.008745,0.008629,0.00867,286.63,2.48
2018-09-05 05-PM,LTCBTC,0.008795,0.008795,0.008605,0.008745,304.59,2.65
2018-09-05 04-PM,LTCBTC,0.00892,0.008965,0.008751,0.008795,728.13,6.47
2018-09-05 03-PM,LTCBTC,0.008916,0.008947,0.0089,0.00892,192.57,1.72
2018-09-05 02-PM,LTCBTC,0.009025,0.009025,0.008916,0.008916,122.37,1.1
2018-09-05 01-PM,LTCBTC,0.0089,0.009025,0.008841,0.009025,443.62,3.98
2018-09-05 12-PM,LTCBTC,0.008925,0.008925,0.008826,0.0089,238.36,2.12
2018-09-05 11-AM,LTCBTC,0.00881,0.008956,0.008758,0.008925,380.34,3.37
2018-09-05 10-AM,LTCBTC,0.009121,0.009121,0.008759,0.00881,1149.58,10.3
2018-09-05 09-AM,LTCBTC,0.009209,0.009209,0.009106,0.009121,581.89,5.32
2018-09-05 08-AM,LTCBTC,0.00924,0.00924,0.009178,0.009209,15.49,0.1421
2018-09-05 07-AM,LTCBTC,0.009249,0.009249,0.00924,0.00924,0.555,0.005128
2018-09-05 06-AM,LTCBTC,0.009205,0.009249,0.009205,0.009249,5.0,0.04623
2018-09-05 05-AM,LTCBTC,0.009166,0.009205,0.009166,0.009205,24.83,0.2283
2018-09-05 04-AM,LTCBTC,0.00918,0.00918,0.009166,0.009166,4.95,0.04538
2018-09-05 03-AM,LTCBTC,0.009205,0.009205,0.00918,0.00918,10.23,0.09407
2018-09-05 02-AM,LTCBTC,0.009205,0.009205,0.009183,0.009205,23.94,0.22
2018-09-05 01-AM,LTCBTC,0.009204,0.00924,0.009204,0.009205,76.0,0.7014
2018-09-05 12-AM,LTCBTC,0.0092,0.009245,0.0092,0.009204,6.7,0.06177
2018-09-04 11-PM,LTCBTC,0.00926,0.009285,0.0092,0.0092,93.67,0.8644
2018-09-04 10-PM,LTCBTC,0.009285,0.009285,0.009251,0.00926,110.0,1.02
2018-09-04 09-PM,LTCBTC,0.009225,0.009295,0.009225,0.009285,275.28,2.56
2018-09-04 08-PM,LTCBTC,0.009228,0.009275,0.009196,0.009225,33.47,0.3083
2018-09-04 07-PM,LTCBTC,0.009325,0.00933,0.009228,0.009228,110.25,1.02
2018-09-04 06-PM,LTCBTC,0.009304,0.009388,0.009304,0.009325,250.94,2.34
2018-09-04 05-PM,LTCBTC,0.009293,0.009325,0.009293,0.009304,7.12,0.06635
2018-09-04 04-PM,LTCBTC,0.009305,0.00932,0.009293,0.009293,69.99,0.6518
2018-09-04 03-PM,LTCBTC,0.009305,0.009305,0.009285,0.009305,1.63,0.01516
2018-09-04 02-PM,LTCBTC,0.0093,0.00933,0.00924,0.009305,58.38,0.5415
2018-09-04 01-PM,LTCBTC,0.009304,0.009304,0.00925,0.0093,117.64,1.09
2018-09-04 12-PM,LTCBTC,0.0094,0.0094,0.009238,0.009304,85.5,0.7985
2018-09-04 11-AM,LTCBTC,0.009235,0.0094,0.009235,0.0094,370.06,3.44
2018-09-04 10-AM,LTCBTC,0.009242,0.009265,0.009209,0.009235,6.29,0.05822
2018-09-04 09-AM,LTCBTC,0.009165,0.009265,0.009165,0.009242,322.22,2.98
2018-09-04 08-AM,LTCBTC,0.009155,0.00918,0.009125,0.009165,74.11,0.6791
2018-09-04 07-AM,LTCBTC,0.00914,0.009185,0.00914,0.009155,67.83,0.6215
2018-09-04 06-AM,LTCBTC,0.00915,0.00915,0.009127,0.00914,11.4,0.1042
2018-09-04 05-AM,LTCBTC,0.009104,0.009159,0.009104,0.00915,161.89,1.48
2018-09-04 04-AM,LTCBTC,0.009158,0.009158,0.009104,0.009104,11.83,0.1079
2018-09-04 03-AM,LTCBTC,0.009215,0.009215,0.009158,0.009158,10.0,0.09166
2018-09-04 02-AM,LTCBTC,0.009228,0.009228,0.00918,0.009215,33.21,0.3057
2018-09-04 01-AM,LTCBTC,0.00904,0.009228,0.00904,0.009228,306.17,2.8
2018-09-04 12-AM,LTCBTC,0.008985,0.00904,0.008985,0.00904,32.3,0.2908
2018-09-03 11-PM,LTCBTC,0.009035,0.009035,0.008985,0.008985,15.95,0.1438
2018-09-03 10-PM,LTCBTC,0.009046,0.009046,0.009035,0.009035,22.84,0.2064
2018-09-03 09-PM,LTCBTC,0.008998,0.009046,0.008969,0.009046,52.06,0.4685
2018-09-03 08-PM,LTCBTC,0.008981,0.009012,0.008973,0.008998,20.39,0.1833
2018-09-03 07-PM,LTCBTC,0.00891,0.00899,0.00891,0.008981,127.89,1.15
2018-09-03 06-PM,LTCBTC,0.008935,0.00895,0.00891,0.00891,23.47,0.2098
2018-09-03 05-PM,LTCBTC,0.008935,0.008955,0.008904,0.008935,6.1,0.05447
