Created on 10-31-2018,http://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume From,Volume To
2018-10-31 12-AM,XRPBTC,7.063e-05,7.063e-05,7.054e-05,7.054e-05,0.0,0.0
2018-10-30 11-PM,XRPBTC,7.061e-05,7.08e-05,7.048e-05,7.063e-05,148334.58,10.47
2018-10-30 10-PM,XRPBTC,7.027e-05,7.067e-05,7.008e-05,7.061e-05,502885.83,35.34
2018-10-30 09-PM,XRPBTC,7.035e-05,7.039e-05,7.003e-05,7.027e-05,1019307.62,71.55
2018-10-30 08-PM,XRPBTC,7.035e-05,7.045e-05,7.027e-05,7.035e-05,132022.24,9.29
2018-10-30 07-PM,XRPBTC,7.056e-05,7.056e-05,7.022e-05,7.035e-05,35461.4,2.49
2018-10-30 06-PM,XRPBTC,7.04e-05,7.068e-05,7.027e-05,7.056e-05,62061.43,4.37
2018-10-30 05-PM,XRPBTC,7.04e-05,7.041e-05,7.035e-05,7.04e-05,6175.57,0.4347
2018-10-30 04-PM,XRPBTC,7.064e-05,7.073e-05,7.04e-05,7.04e-05,22796.38,1.61
2018-10-30 03-PM,XRPBTC,7.072e-05,7.086e-05,7.05e-05,7.064e-05,371052.07,26.19
2018-10-30 02-PM,XRPBTC,7.071e-05,7.092e-05,7.071e-05,7.072e-05,72814.7,5.16
2018-10-30 01-PM,XRPBTC,7.055e-05,7.085e-05,7.055e-05,7.071e-05,37700.41,2.67
2018-10-30 12-PM,XRPBTC,7.073e-05,7.096e-05,7.054e-05,7.055e-05,225925.02,15.98
2018-10-30 11-AM,XRPBTC,7.05e-05,7.075e-05,7.024e-05,7.073e-05,117025.02,8.25
2018-10-30 10-AM,XRPBTC,7.063e-05,7.07e-05,7.05e-05,7.05e-05,80419.6,5.68
2018-10-30 09-AM,XRPBTC,7.049e-05,7.065e-05,7.04e-05,7.063e-05,35943.67,2.53
2018-10-30 08-AM,XRPBTC,7.064e-05,7.067e-05,7.041e-05,7.049e-05,75552.35,5.33
2018-10-30 07-AM,XRPBTC,7.056e-05,7.064e-05,7.039e-05,7.064e-05,18431.06,1.3
2018-10-30 06-AM,XRPBTC,7.075e-05,7.077e-05,7.051e-05,7.056e-05,20257.16,1.43
2018-10-30 05-AM,XRPBTC,7.11e-05,7.11e-05,7.041e-05,7.075e-05,94420.22,6.68
2018-10-30 04-AM,XRPBTC,7.078e-05,7.123e-05,7.078e-05,7.11e-05,133860.83,9.51
2018-10-30 03-AM,XRPBTC,7.064e-05,7.088e-05,7.055e-05,7.078e-05,149446.61,10.57
2018-10-30 02-AM,XRPBTC,7.023e-05,7.087e-05,7.022e-05,7.064e-05,363300.69,25.62
2018-10-30 01-AM,XRPBTC,7.014e-05,7.023e-05,7.012e-05,7.023e-05,91819.07,6.44
2018-10-30 12-AM,XRPBTC,7.014e-05,7.026e-05,7.01e-05,7.014e-05,78325.2,5.5
2018-10-29 11-PM,XRPBTC,7.023e-05,7.026e-05,7.003e-05,7.017e-05,54349.17,3.81
2018-10-29 10-PM,XRPBTC,6.966e-05,7.026e-05,6.966e-05,7.023e-05,204404.86,14.26
2018-10-29 09-PM,XRPBTC,6.972e-05,6.973e-05,6.954e-05,6.966e-05,112370.61,7.83
2018-10-29 08-PM,XRPBTC,6.966e-05,6.987e-05,6.94e-05,6.972e-05,349424.74,24.32
2018-10-29 07-PM,XRPBTC,6.991e-05,6.991e-05,6.94e-05,6.966e-05,209428.54,14.58
2018-10-29 06-PM,XRPBTC,7.021e-05,7.022e-05,6.984e-05,6.991e-05,77458.55,5.43
2018-10-29 05-PM,XRPBTC,6.997e-05,7.023e-05,6.99e-05,7.021e-05,54483.37,3.82
2018-10-29 04-PM,XRPBTC,7.001e-05,7.01e-05,6.98e-05,6.997e-05,261399.88,18.29
2018-10-29 03-PM,XRPBTC,7.001e-05,7.015e-05,6.991e-05,7.001e-05,62856.65,4.4
2018-10-29 02-PM,XRPBTC,6.991e-05,7.016e-05,6.974e-05,7.001e-05,67048.48,4.69
2018-10-29 01-PM,XRPBTC,6.955e-05,7.028e-05,6.948e-05,6.991e-05,340971.53,23.81
2018-10-29 12-PM,XRPBTC,7.073e-05,7.087e-05,6.885e-05,6.955e-05,1057183.83,73.57
2018-10-29 11-AM,XRPBTC,7.119e-05,7.144e-05,7.029e-05,7.073e-05,801699.64,56.77
2018-10-29 10-AM,XRPBTC,7.123e-05,7.124e-05,7.1e-05,7.119e-05,273639.99,19.45
2018-10-29 09-AM,XRPBTC,7.122e-05,7.13e-05,7.115e-05,7.123e-05,50836.87,3.62
2018-10-29 08-AM,XRPBTC,7.119e-05,7.13e-05,7.116e-05,7.122e-05,40453.7,2.88
2018-10-29 07-AM,XRPBTC,7.126e-05,7.128e-05,7.11e-05,7.119e-05,21680.85,1.54
2018-10-29 06-AM,XRPBTC,7.136e-05,7.138e-05,7.124e-05,7.126e-05,17502.25,1.25
2018-10-29 05-AM,XRPBTC,7.136e-05,7.142e-05,7.129e-05,7.136e-05,70051.89,5.0
2018-10-29 04-AM,XRPBTC,7.139e-05,7.14e-05,7.136e-05,7.136e-05,72582.09,5.18
2018-10-29 03-AM,XRPBTC,7.139e-05,7.147e-05,7.139e-05,7.139e-05,31944.73,2.28
2018-10-29 02-AM,XRPBTC,7.151e-05,7.154e-05,7.136e-05,7.139e-05,29167.99,2.08
