Date,Symbol,Open,High,Low,Close,Volume From,Volume To
2018-09-05 05-PM,LTCEUR,52.2,52.34,50.87,51.7,1050.39,53922.56
2018-09-05 04-PM,LTCEUR,53.58,54.12,51.84,52.2,3118.52,165105.75
2018-09-05 03-PM,LTCEUR,54.06,54.31,53,53.58,1408.59,75817.26
2018-09-05 02-PM,LTCEUR,54.5,54.67,53.44,54.06,2138.18,115040.03
2018-09-05 01-PM,LTCEUR,53.53,54.53,52.91,54.5,2919.14,156751.13
2018-09-05 12-PM,LTCEUR,53.63,54.24,53.31,53.53,1051.83,56404.93
2018-09-05 11-AM,LTCEUR,53.06,54.07,52.9,53.63,1605.01,85701.81
2018-09-05 10-AM,LTCEUR,56.15,56.2,52.5,53.06,2023.29,110977.19
2018-09-05 09-AM,LTCEUR,58.56,58.64,55.87,56.15,2763.82,157729.39
2018-09-05 08-AM,LTCEUR,58.66,58.76,58.54,58.56,79.25,4651.87
2018-09-05 07-AM,LTCEUR,58.86,58.91,58.66,58.66,248.65,14618.03
2018-09-05 06-AM,LTCEUR,58.5,58.86,58.5,58.86,18.33,1077.23
2018-09-05 05-AM,LTCEUR,58.16,58.57,58.16,58.5,44.52,2597.2
2018-09-05 04-AM,LTCEUR,58.23,58.4,58.1,58.16,111.47,6485.7
2018-09-05 03-AM,LTCEUR,58.31,58.31,58.23,58.23,54.47,3174.36
2018-09-05 02-AM,LTCEUR,58.55,58.66,58.31,58.31,254.68,14859.15
2018-09-05 01-AM,LTCEUR,58.74,58.74,58.55,58.55,9.84,576.46
2018-09-05 12-AM,LTCEUR,58.39,58.74,58.36,58.74,127.06,7451.8
2018-09-04 11-PM,LTCEUR,58.95,58.95,58.26,58.39,130.23,7592.52
2018-09-04 10-PM,LTCEUR,58.76,58.97,58.76,58.95,16.17,953.43
2018-09-04 09-PM,LTCEUR,58.51,59.19,58.51,58.76,168.53,9955.45
2018-09-04 08-PM,LTCEUR,58.46,58.71,58.3,58.51,221.01,12946.45
2018-09-04 07-PM,LTCEUR,59.15,59.15,58.28,58.46,735.34,43158.53
2018-09-04 06-PM,LTCEUR,59.36,59.86,59,59.15,238.94,14173.48
2018-09-04 05-PM,LTCEUR,59.21,59.47,59.13,59.36,71.15,4227.09
2018-09-04 04-PM,LTCEUR,59.3,59.46,59.08,59.21,335.85,19904.01
2018-09-04 03-PM,LTCEUR,59.33,59.35,57.05,59.3,3235.92,189710.06
2018-09-04 02-PM,LTCEUR,58.82,59.66,58.82,59.33,522.97,31039.58
2018-09-04 01-PM,LTCEUR,59.28,59.28,58.51,58.82,1097.87,64516.05
2018-09-04 12-PM,LTCEUR,59.34,59.76,59.04,59.28,926.96,55077.82
2018-09-04 11-AM,LTCEUR,58.55,59.51,58.55,59.34,429.09,25387.0
2018-09-04 10-AM,LTCEUR,58.14,58.55,58.14,58.55,293.08,17101.83
2018-09-04 09-AM,LTCEUR,58,58.38,57.8,58.14,459.25,26701.86
2018-09-04 08-AM,LTCEUR,57.71,58,57.48,58,447.87,25907.1
2018-09-04 07-AM,LTCEUR,57.32,57.71,57.29,57.71,344.17,19798.07
2018-09-04 06-AM,LTCEUR,57.32,57.45,57.15,57.32,452.4,25968.67
2018-09-04 05-AM,LTCEUR,56.8,57.45,56.8,57.32,163.74,9365.5
2018-09-04 04-AM,LTCEUR,57.24,57.24,56.8,56.8,114.73,6542.09
2018-09-04 03-AM,LTCEUR,57.56,57.56,57.24,57.24,1.24,71.44
2018-09-04 02-AM,LTCEUR,57.83,58.03,57.41,57.56,277.26,16053.07
2018-09-04 01-AM,LTCEUR,56.5,57.83,56.5,57.83,220.79,12698.47
2018-09-04 12-AM,LTCEUR,56.35,56.52,56.35,56.5,37.73,2129.72
2018-09-03 11-PM,LTCEUR,56.26,56.35,56.07,56.35,28.44,1594.91
2018-09-03 10-PM,LTCEUR,56.83,57.14,56.26,56.26,146.04,8251.15
2018-09-03 09-PM,LTCEUR,56.5,56.83,56.41,56.83,41.98,2374.63
2018-09-03 08-PM,LTCEUR,56.8,56.8,56.23,56.5,262.87,14836.96
2018-09-03 07-PM,LTCEUR,56.04,56.8,55.91,56.8,534.47,30118.02
2018-09-03 06-PM,LTCEUR,56.07,56.07,55.76,56.04,71.19,3977.3
2018-09-03 05-PM,LTCEUR,55.74,56.12,55.66,56.07,64.69,3613.51
2018-09-03 04-PM,LTCEUR,55.94,55.99,55.63,55.74,120.32,6717.71
2018-09-03 03-PM,LTCEUR,55.95,55.97,55.76,55.94,153.34,8561.47
2018-09-03 02-PM,LTCEUR,56.09,56.19,55.9,55.95,84.48,4731.07
2018-09-03 01-PM,LTCEUR,55.91,56.14,55.91,56.09,70.2,3934.62
2018-09-03 12-PM,LTCEUR,55.57,55.92,55.57,55.91,230.87,12875.43
2018-09-03 11-AM,LTCEUR,55.86,55.87,55.51,55.57,265.48,14756.65
2018-09-03 10-AM,LTCEUR,55.7,55.86,55.68,55.86,21.3,1187.04
2018-09-03 09-AM,LTCEUR,56.08,56.08,55.66,55.7,67.11,3741.73
2018-09-03 08-AM,LTCEUR,55.89,56.1,55.86,56.08,137.43,7694.32
2018-09-03 07-AM,LTCEUR,55.95,55.98,55.65,55.89,211.54,11795.26
2018-09-03 06-AM,LTCEUR,55.65,56.15,55.65,55.95,207.63,11643.84
2018-09-03 05-AM,LTCEUR,55.55,55.65,55.55,55.65,275.75,15334.02
2018-09-03 04-AM,LTCEUR,56.23,56.29,55.5,55.55,514.67,28775.15
2018-09-03 03-AM,LTCEUR,56.06,56.23,56.06,56.23,40.64,2284.74
2018-09-03 02-AM,LTCEUR,56.06,56.06,56.06,56.06,0.0,0.0
2018-09-03 01-AM,LTCEUR,56.36,56.36,55.8,56.06,41.86,2344.05
2018-09-03 12-AM,LTCEUR,57.04,57.3,56.36,56.36,334.21,19053.5
2018-09-02 11-PM,LTCEUR,56.72,57.18,56.64,57.04,430.38,24516.01
2018-09-02 10-PM,LTCEUR,56.43,56.72,56.21,56.72,458.67,25821.51
2018-09-02 09-PM,LTCEUR,56.47,56.54,56.38,56.43,61.65,3480.72
2018-09-02 08-PM,LTCEUR,56.5,56.62,56.14,56.47,265.1,14949.76
2018-09-02 07-PM,LTCEUR,56.34,56.89,56.34,56.5,185.7,10516.54
2018-09-02 06-PM,LTCEUR,56.37,56.49,56.05,56.34,57.39,3227.73
2018-09-02 05-PM,LTCEUR,56.15,56.39,56.15,56.37,292.63,16493.29
2018-09-02 04-PM,LTCEUR,55.83,56.29,55.64,56.15,2313.96,129593.65
2018-09-02 03-PM,LTCEUR,55.58,56.06,55.58,55.83,50.28,2809.03
2018-09-02 02-PM,LTCEUR,55.46,55.85,55.46,55.58,96.81,5376.18
2018-09-02 01-PM,LTCEUR,55.96,55.96,55.41,55.46,148.06,8237.37
2018-09-02 12-PM,LTCEUR,55.44,56.22,55.44,55.96,46.8,2615.72
2018-09-02 11-AM,LTCEUR,56.09,56.24,55.3,55.44,163.72,9117.45
2018-09-02 10-AM,LTCEUR,56.68,56.9,55.9,56.09,176.63,9955.23
2018-09-02 09-AM,LTCEUR,57,57.44,56.29,56.68,417.55,23763.48
2018-09-02 08-AM,LTCEUR,57.13,57.54,57,57,382.17,21887.35
2018-09-02 07-AM,LTCEUR,56.99,57.4,56.82,57.13,6.55,374.66
2018-09-02 06-AM,LTCEUR,57.54,57.54,56.75,56.99,19.04,1090.18
2018-09-02 05-AM,LTCEUR,56.87,57.54,56.82,57.54,67.34,3862.45
2018-09-02 04-AM,LTCEUR,56.72,57.39,56.72,56.87,119.39,6829.31
2018-09-02 03-AM,LTCEUR,56.65,56.76,56.65,56.72,12.52,710.54
2018-09-02 02-AM,LTCEUR,55.74,56.65,55.66,56.65,44.59,2496.89
2018-09-02 01-AM,LTCEUR,56.2,56.21,55.72,55.74,96.32,5382.43
2018-09-02 12-AM,LTCEUR,56.83,57.11,56.2,56.2,189.24,10724.24
2018-09-01 11-PM,LTCEUR,57.16,57.16,56.74,56.83,69.06,3920.99
2018-09-01 10-PM,LTCEUR,57.27,57.54,57.08,57.16,62.09,3558.29
2018-09-01 09-PM,LTCEUR,57.43,57.94,57.27,57.27,290.71,16733.22
2018-09-01 08-PM,LTCEUR,58.39,58.39,57.16,57.43,179.64,10344.91
2018-09-01 07-PM,LTCEUR,57.22,58.47,57.22,58.39,208.88,12114.63
2018-09-01 06-PM,LTCEUR,57.24,57.38,56.89,57.22,117.57,6701.34
2018-09-01 05-PM,LTCEUR,56.83,57.4,56.63,57.24,235.25,13447.67
2018-09-01 04-PM,LTCEUR,56.55,56.9,56.55,56.83,100.68,5709.97
2018-09-01 03-PM,LTCEUR,56.41,56.98,56.3,56.55,211.02,11944.94
2018-09-01 02-PM,LTCEUR,55.16,56.5,55.08,56.41,380.64,21229.59
2018-09-01 01-PM,LTCEUR,55.25,55.25,55.16,55.16,5.83,321.78
2018-09-01 12-PM,LTCEUR,55.15,55.25,54.6,55.25,221.6,12161.83
2018-09-01 11-AM,LTCEUR,55.72,56.29,55.15,55.15,453.0,25330.0
2018-09-01 10-AM,LTCEUR,55.66,56,55.48,55.72,21.23,1184.48
2018-09-01 09-AM,LTCEUR,55.01,55.66,55.01,55.66,515.35,28415.25
2018-09-01 08-AM,LTCEUR,54.88,55.06,54.85,55.01,120.46,6623.39
2018-09-01 07-AM,LTCEUR,54.9,55.03,54.83,54.88,134.83,7405.06
2018-09-01 06-AM,LTCEUR,54.89,54.9,54.6,54.9,33.75,1849.84
2018-09-01 05-AM,LTCEUR,55.07,55.23,54.72,54.89,106.04,5824.14
2018-09-01 04-AM,LTCEUR,54.86,55.07,54.49,55.07,204.92,11231.83
2018-09-01 03-AM,LTCEUR,54.62,54.86,54.46,54.86,4.92,268.82
2018-09-01 02-AM,LTCEUR,54.3,54.81,54.26,54.62,169.43,9263.33
2018-09-01 01-AM,LTCEUR,54.2,54.68,54.2,54.3,8.65,470.63
2018-09-01 12-AM,LTCEUR,53.37,54.25,53.37,54.2,492.6,26635.98
2018-08-31 11-PM,LTCEUR,53.43,53.51,53.37,53.37,5.29,282.69
2018-08-31 10-PM,LTCEUR,53.46,53.51,53.21,53.43,41.94,2239.27
2018-08-31 09-PM,LTCEUR,53.42,53.64,53.31,53.46,48.0,2561.44
2018-08-31 08-PM,LTCEUR,53.43,53.8,53.42,53.42,79.55,4261.08
2018-08-31 07-PM,LTCEUR,53.7,53.7,53.32,53.43,23.09,1233.87
2018-08-31 06-PM,LTCEUR,53.72,53.83,53.45,53.7,469.13,25141.29
2018-08-31 05-PM,LTCEUR,52.82,53.99,52.82,53.72,382.22,20463.38
2018-08-31 04-PM,LTCEUR,52.07,53.03,52.04,52.82,983.2,51607.35
2018-08-31 03-PM,LTCEUR,51.32,52.19,51.32,52.07,1181.33,61357.16
2018-08-31 02-PM,LTCEUR,51.55,51.81,51.32,51.32,110.88,5738.48
2018-08-31 01-PM,LTCEUR,51.41,51.61,51.41,51.55,3.36,173.23
2018-08-31 12-PM,LTCEUR,52.13,52.13,51.37,51.41,457.02,23572.09
2018-08-31 11-AM,LTCEUR,51.79,52.4,51.73,52.13,199.32,10412.43
2018-08-31 10-AM,LTCEUR,51.79,51.99,51.75,51.79,344.63,17876.33
2018-08-31 09-AM,LTCEUR,51.8,51.86,51.59,51.79,429.19,22175.08
2018-08-31 08-AM,LTCEUR,51.46,51.96,51.46,51.8,1057.54,54663.73
2018-08-31 07-AM,LTCEUR,51.87,52.06,51.42,51.46,246.34,12715.03
2018-08-31 06-AM,LTCEUR,51.8,51.93,51.73,51.87,106.53,5518.65
2018-08-31 05-AM,LTCEUR,51.79,52.1,51.75,51.8,417.9,21685.14
2018-08-31 04-AM,LTCEUR,51.47,51.79,51.47,51.79,293.61,15181.44
2018-08-31 03-AM,LTCEUR,51.44,51.54,51.38,51.47,106.8,5488.16
2018-08-31 02-AM,LTCEUR,51.18,51.44,51.09,51.44,221.01,11323.84
2018-08-31 01-AM,LTCEUR,51.32,51.41,51.08,51.18,497.89,25489.76
2018-08-31 12-AM,LTCEUR,51.71,51.71,51.32,51.32,507.25,26128.14
2018-08-30 11-PM,LTCEUR,51.3,51.75,51.25,51.71,96.32,4976.66
2018-08-30 10-PM,LTCEUR,51.5,51.67,51.23,51.3,15.86,815.48
2018-08-30 09-PM,LTCEUR,51.41,51.85,51.41,51.5,14.93,772.36
2018-08-30 08-PM,LTCEUR,50.63,51.73,50.44,51.41,491.97,25248.67
2018-08-30 07-PM,LTCEUR,50.6,50.69,50.33,50.63,106.82,5381.79
2018-08-30 06-PM,LTCEUR,50.94,51.02,50.29,50.6,889.36,44991.63
2018-08-30 05-PM,LTCEUR,51.03,51.16,50.94,50.94,659.77,33643.93
2018-08-30 04-PM,LTCEUR,51.03,51.03,50.78,51.03,247.65,12590.25
2018-08-30 03-PM,LTCEUR,50.85,51.08,50.68,51.03,392.0,19892.94
2018-08-30 02-PM,LTCEUR,50.99,51.07,50.29,50.85,946.62,48097.81
2018-08-30 01-PM,LTCEUR,50.55,50.99,50.23,50.99,792.22,40233.57
2018-08-30 12-PM,LTCEUR,50.75,50.75,50.24,50.55,530.07,26832.72
2018-08-30 11-AM,LTCEUR,50.86,50.97,50.43,50.75,731.84,37050.08
2018-08-30 10-AM,LTCEUR,50.75,51.02,50.71,50.86,182.63,9296.38
2018-08-30 09-AM,LTCEUR,51.4,51.4,50.51,50.75,1333.64,67870.19
2018-08-30 08-AM,LTCEUR,51.53,51.83,51.27,51.4,165.18,8507.09
2018-08-30 07-AM,LTCEUR,51.72,51.87,51.53,51.53,75.63,3906.77
2018-08-30 06-AM,LTCEUR,51.68,51.77,51.37,51.72,2541.67,131262.57
2018-08-30 05-AM,LTCEUR,51.87,52.28,51.61,51.68,59.41,3073.44
2018-08-30 04-AM,LTCEUR,52.08,52.3,51.87,51.87,199.97,10412.15
2018-08-30 03-AM,LTCEUR,52.08,52.23,51.71,52.08,34.84,1803.38
2018-08-30 02-AM,LTCEUR,52.27,52.33,51.56,52.08,416.8,21676.74
2018-08-30 01-AM,LTCEUR,52.59,52.59,52.26,52.27,21.94,1149.64
2018-08-30 12-AM,LTCEUR,52.45,52.59,52.28,52.59,178.97,9393.81
2018-08-29 11-PM,LTCEUR,52.79,52.79,52.36,52.45,94.74,4980.46
2018-08-29 10-PM,LTCEUR,53.1,53.1,52.71,52.79,61.79,3260.52
2018-08-29 09-PM,LTCEUR,52.93,53.13,52.87,53.1,1594.29,84652.0
2018-08-29 08-PM,LTCEUR,52.26,52.93,52.26,52.93,182.29,9557.62
2018-08-29 07-PM,LTCEUR,52.35,52.51,52.22,52.26,60.44,3167.76
2018-08-29 06-PM,LTCEUR,52.59,52.74,52.16,52.35,103.22,5415.49
