Date,Symbol,Open,High,Low,Close,Volume From,Volume To
2018-09-05 05-PM,LTCUSD,60.57,60.59,59.07,60.01,2412.43,144085.45
2018-09-05 04-PM,LTCUSD,62.24,62.86,60.29,60.57,5198.11,320849.45
2018-09-05 03-PM,LTCUSD,62.9,62.91,61.5,62.24,2902.89,180763.06
2018-09-05 02-PM,LTCUSD,63.31,63.31,62.58,62.9,620.24,38965.41
2018-09-05 01-PM,LTCUSD,62.13,63.42,61.64,63.31,946.56,59167.53
2018-09-05 12-PM,LTCUSD,62.26,62.71,61.75,62.13,1781.66,110860.48
2018-09-05 11-AM,LTCUSD,61.56,62.7,61.28,62.26,4013.43,248828.23
2018-09-05 10-AM,LTCUSD,64.87,65.12,60.62,61.56,10063.77,638718.61
2018-09-05 09-AM,LTCUSD,67.77,67.77,64.74,64.87,3355.25,221289.74
2018-09-05 08-AM,LTCUSD,67.81,67.98,67.5,67.77,89.63,6058.53
2018-09-05 07-AM,LTCUSD,68.06,68.11,67.81,67.81,63.65,4326.78
2018-09-05 06-AM,LTCUSD,68.05,68.09,67.77,68.06,66.77,4539.33
2018-09-05 05-AM,LTCUSD,67.47,68.05,67.36,68.05,359.38,24381.27
2018-09-05 04-AM,LTCUSD,67.58,67.71,67.33,67.47,134.55,9079.38
2018-09-05 03-AM,LTCUSD,67.74,67.76,67.55,67.58,37.68,2549.27
2018-09-05 02-AM,LTCUSD,68.04,68.04,67.52,67.74,512.13,34682.23
2018-09-05 01-AM,LTCUSD,67.93,68.04,67.68,68.04,87.16,5917.52
2018-09-05 12-AM,LTCUSD,67.6,68.23,67.54,67.93,448.71,30435.4
2018-09-04 11-PM,LTCUSD,68.22,68.22,67.52,67.6,272.35,18444.37
2018-09-04 10-PM,LTCUSD,67.84,68.23,67.84,68.22,101.24,6885.87
2018-09-04 09-PM,LTCUSD,67.89,68.53,67.84,67.84,63.55,4333.11
2018-09-04 08-PM,LTCUSD,67.71,68,67.33,67.89,796.55,54050.89
