Date,Symbol,Open,High,Low,Close,Volume From,Volume To
2018-09-05 05-PM,XRPUSD,0.2893,0.2893,0.2821,0.2865,1638613.55,468279.8
2018-09-05 04-PM,XRPUSD,0.2995,0.3013,0.2884,0.2893,2245657.62,661518.26
2018-09-05 03-PM,XRPUSD,0.3059,0.3059,0.2958,0.2995,1453270.8,435881.89
2018-09-05 02-PM,XRPUSD,0.308,0.3081,0.303,0.3059,797040.36,243912.3
2018-09-05 01-PM,XRPUSD,0.3038,0.3082,0.301,0.308,540490.11,164747.2
2018-09-05 12-PM,XRPUSD,0.3031,0.3059,0.3006,0.3038,1307160.97,397560.96
2018-09-05 11-AM,XRPUSD,0.2997,0.3037,0.2965,0.3031,2171748.01,651696.26
2018-09-05 10-AM,XRPUSD,0.3153,0.3166,0.2965,0.2997,3570102.87,1093575.65
2018-09-05 09-AM,XRPUSD,0.3295,0.3296,0.315,0.3153,1401405.55,451241.82
2018-09-05 08-AM,XRPUSD,0.3292,0.3296,0.328,0.3295,248704.46,81769.88
2018-09-05 07-AM,XRPUSD,0.3303,0.3303,0.3288,0.3292,74061.1,24398.46
2018-09-05 06-AM,XRPUSD,0.3303,0.331,0.3294,0.3303,66290.03,21886.82
2018-09-05 05-AM,XRPUSD,0.3304,0.3304,0.33,0.3303,51366.56,16966.49
2018-09-05 04-AM,XRPUSD,0.3316,0.3316,0.33,0.3304,152151.12,50389.31
2018-09-05 03-AM,XRPUSD,0.3316,0.3316,0.3311,0.3316,14002.91,4638.33
2018-09-05 02-AM,XRPUSD,0.3326,0.3328,0.3312,0.3316,13595.45,4512.95
2018-09-05 01-AM,XRPUSD,0.3328,0.3328,0.3317,0.3326,187168.63,62197.78
2018-09-05 12-AM,XRPUSD,0.3301,0.3335,0.3301,0.3328,142228.08,47274.14
2018-09-04 11-PM,XRPUSD,0.3313,0.3313,0.3296,0.3301,104353.6,34493.61
2018-09-04 10-PM,XRPUSD,0.3325,0.3325,0.3308,0.3313,74928.5,24852.84
2018-09-04 09-PM,XRPUSD,0.3312,0.333,0.3307,0.3325,87232.02,28982.23
2018-09-04 08-PM,XRPUSD,0.3301,0.3318,0.3285,0.3312,311194.49,102680.03
2018-09-04 07-PM,XRPUSD,0.3329,0.333,0.3282,0.3301,731164.88,241876.56
2018-09-04 06-PM,XRPUSD,0.336,0.337,0.3324,0.3329,614898.43,206187.74
2018-09-04 05-PM,XRPUSD,0.3349,0.336,0.3345,0.336,205835.99,69080.75
2018-09-04 04-PM,XRPUSD,0.3372,0.3372,0.3345,0.3349,1560419.1,523308.58
2018-09-04 03-PM,XRPUSD,0.3362,0.3377,0.3358,0.3372,167780.22,56494.95
2018-09-04 02-PM,XRPUSD,0.3386,0.3392,0.3362,0.3362,617275.95,208675.48
2018-09-04 01-PM,XRPUSD,0.3381,0.3387,0.3358,0.3386,481749.79,162564.43
2018-09-04 12-PM,XRPUSD,0.3368,0.3412,0.3366,0.3381,509517.96,172784.62
2018-09-04 11-AM,XRPUSD,0.3335,0.3368,0.3335,0.3368,344278.85,115161.25
2018-09-04 10-AM,XRPUSD,0.3335,0.3338,0.3331,0.3335,296632.95,98919.74
2018-09-04 09-AM,XRPUSD,0.3331,0.3339,0.3329,0.3335,65471.51,21820.66
2018-09-04 08-AM,XRPUSD,0.3346,0.3353,0.333,0.3331,123168.55,41125.64
2018-09-04 07-AM,XRPUSD,0.3325,0.3348,0.3325,0.3346,115579.96,38542.21
2018-09-04 06-AM,XRPUSD,0.3325,0.3329,0.3316,0.3325,98397.17,32692.37
2018-09-04 05-AM,XRPUSD,0.3342,0.3346,0.3314,0.3325,212948.13,70893.25
2018-09-04 04-AM,XRPUSD,0.3347,0.3353,0.332,0.3342,270637.27,90247.5
2018-09-04 03-AM,XRPUSD,0.3362,0.3362,0.3347,0.3347,34043.04,11415.97
2018-09-04 02-AM,XRPUSD,0.3373,0.3373,0.3359,0.3362,91816.83,30871.64
2018-09-04 01-AM,XRPUSD,0.3356,0.3373,0.3343,0.3373,482871.26,161747.61
2018-09-04 12-AM,XRPUSD,0.3348,0.3365,0.3339,0.3356,231291.45,77361.28
2018-09-03 11-PM,XRPUSD,0.336,0.3364,0.3347,0.3348,168239.2,56401.75
2018-09-03 10-PM,XRPUSD,0.3375,0.3397,0.3357,0.336,244197.67,82273.94
2018-09-03 09-PM,XRPUSD,0.3376,0.3387,0.3367,0.3375,54688.91,18476.09
2018-09-03 08-PM,XRPUSD,0.3382,0.3388,0.3366,0.3376,210413.29,70952.21
2018-09-03 07-PM,XRPUSD,0.3388,0.3394,0.3369,0.3382,508565.21,172206.96
2018-09-03 06-PM,XRPUSD,0.3368,0.3397,0.3365,0.3388,94844.57,32115.4
2018-09-03 05-PM,XRPUSD,0.336,0.3375,0.3352,0.3368,63962.53,21502.67
2018-09-03 04-PM,XRPUSD,0.3379,0.3379,0.3356,0.336,77966.86,26202.5
2018-09-03 03-PM,XRPUSD,0.3379,0.3379,0.3356,0.3379,125201.61,42096.22
2018-09-03 02-PM,XRPUSD,0.3377,0.3385,0.3357,0.3379,412004.73,138698.63
2018-09-03 01-PM,XRPUSD,0.3369,0.3389,0.3368,0.3377,216743.5,73240.83
2018-09-03 12-PM,XRPUSD,0.333,0.3374,0.333,0.3369,147027.53,49368.58
2018-09-03 11-AM,XRPUSD,0.3341,0.3348,0.3329,0.333,135022.42,45116.62
2018-09-03 10-AM,XRPUSD,0.3345,0.3346,0.3329,0.3341,234912.07,78435.89
2018-09-03 09-AM,XRPUSD,0.3373,0.3373,0.3345,0.3345,91302.05,30611.12
2018-09-03 08-AM,XRPUSD,0.3368,0.3373,0.3345,0.3373,277902.09,93315.94
2018-09-03 07-AM,XRPUSD,0.3381,0.3381,0.3355,0.3368,165445.83,55708.56
2018-09-03 06-AM,XRPUSD,0.3347,0.3381,0.3346,0.3381,126721.41,42623.37
2018-09-03 05-AM,XRPUSD,0.336,0.3372,0.3341,0.3347,178866.77,59945.34
2018-09-03 04-AM,XRPUSD,0.3389,0.3391,0.3345,0.336,614963.96,206774.42
2018-09-03 03-AM,XRPUSD,0.3401,0.3402,0.3388,0.3389,68676.27,23326.75
2018-09-03 02-AM,XRPUSD,0.3402,0.3411,0.3388,0.3401,26432.2,8989.0
2018-09-03 01-AM,XRPUSD,0.3423,0.3423,0.3384,0.3402,199493.24,67765.39
2018-09-03 12-AM,XRPUSD,0.3416,0.3431,0.3392,0.3423,245764.67,83833.93
2018-09-02 11-PM,XRPUSD,0.3409,0.3423,0.34,0.3416,65625.56,22398.95
2018-09-02 10-PM,XRPUSD,0.3414,0.3423,0.3396,0.3409,76561.42,26103.95
2018-09-02 09-PM,XRPUSD,0.34,0.3423,0.34,0.3414,121861.36,41634.49
2018-09-02 08-PM,XRPUSD,0.3399,0.3418,0.3379,0.34,455545.2,154227.82
2018-09-02 07-PM,XRPUSD,0.3423,0.3428,0.3397,0.3399,112930.78,38523.04
2018-09-02 06-PM,XRPUSD,0.3419,0.3424,0.3393,0.3423,199976.49,68113.84
2018-09-02 05-PM,XRPUSD,0.3416,0.3433,0.3412,0.3419,284384.15,97312.08
2018-09-02 04-PM,XRPUSD,0.3396,0.3435,0.3383,0.3416,282861.6,96571.33
2018-09-02 03-PM,XRPUSD,0.339,0.341,0.339,0.3396,157248.92,53454.43
2018-09-02 02-PM,XRPUSD,0.3369,0.3396,0.3362,0.339,176910.12,59825.71
2018-09-02 01-PM,XRPUSD,0.3397,0.3407,0.336,0.3369,337526.28,114118.47
2018-09-02 12-PM,XRPUSD,0.3384,0.342,0.3372,0.3397,216048.55,73425.22
2018-09-02 11-AM,XRPUSD,0.34,0.3425,0.336,0.3384,568879.0,192831.98
2018-09-02 10-AM,XRPUSD,0.3441,0.3452,0.3392,0.34,277621.95,94742.96
2018-09-02 09-AM,XRPUSD,0.3456,0.3472,0.3432,0.3441,362038.05,124897.38
2018-09-02 08-AM,XRPUSD,0.3444,0.348,0.3434,0.3456,814522.79,281689.58
2018-09-02 07-AM,XRPUSD,0.3457,0.3473,0.343,0.3444,475302.55,163922.58
2018-09-02 06-AM,XRPUSD,0.3483,0.3488,0.345,0.3457,154334.84,53570.56
2018-09-02 05-AM,XRPUSD,0.3453,0.3484,0.3432,0.3483,147039.69,50766.64
2018-09-02 04-AM,XRPUSD,0.344,0.3477,0.3436,0.3453,66167.87,22897.61
2018-09-02 03-AM,XRPUSD,0.3435,0.345,0.342,0.344,89853.69,30891.2
2018-09-02 02-AM,XRPUSD,0.3412,0.3435,0.3403,0.3435,165488.3,56461.73
2018-09-02 01-AM,XRPUSD,0.3405,0.3414,0.337,0.3412,535436.94,182062.42
2018-09-02 12-AM,XRPUSD,0.3464,0.3469,0.3395,0.3405,321125.53,110072.61
2018-09-01 11-PM,XRPUSD,0.3475,0.348,0.3459,0.3464,92313.78,32079.75
2018-09-01 10-PM,XRPUSD,0.3461,0.3475,0.345,0.3475,58468.94,20220.24
2018-09-01 09-PM,XRPUSD,0.3492,0.3498,0.3452,0.3461,221590.05,76898.58
2018-09-01 08-PM,XRPUSD,0.3537,0.3537,0.3462,0.3492,546869.7,191171.88
2018-09-01 07-PM,XRPUSD,0.3485,0.3542,0.3485,0.3537,451001.43,158889.56
2018-09-01 06-PM,XRPUSD,0.3483,0.3514,0.3478,0.3485,209158.86,73039.56
2018-09-01 05-PM,XRPUSD,0.3506,0.351,0.3461,0.3483,313101.13,109296.6
2018-09-01 04-PM,XRPUSD,0.3458,0.3506,0.3452,0.3506,633013.85,220464.0
2018-09-01 03-PM,XRPUSD,0.3445,0.3466,0.3426,0.3458,717704.34,247707.59
2018-09-01 02-PM,XRPUSD,0.3391,0.345,0.3368,0.3445,336325.24,115124.56
2018-09-01 01-PM,XRPUSD,0.3371,0.3391,0.3366,0.3391,48551.51,16414.51
2018-09-01 12-PM,XRPUSD,0.3393,0.34,0.3354,0.3371,374547.06,126281.71
2018-09-01 11-AM,XRPUSD,0.3409,0.3444,0.3381,0.3393,260876.2,88909.39
2018-09-01 10-AM,XRPUSD,0.3404,0.342,0.3384,0.3409,150292.25,51205.0
2018-09-01 09-AM,XRPUSD,0.3387,0.3417,0.3387,0.3404,359352.83,122099.25
2018-09-01 08-AM,XRPUSD,0.34,0.34,0.3377,0.3387,565675.52,191283.21
2018-09-01 07-AM,XRPUSD,0.338,0.34,0.3379,0.34,56537.29,19172.89
2018-09-01 06-AM,XRPUSD,0.3389,0.3389,0.3372,0.338,55316.63,18674.67
2018-09-01 05-AM,XRPUSD,0.3404,0.3416,0.3369,0.3389,126996.47,42990.1
2018-09-01 04-AM,XRPUSD,0.3405,0.3425,0.3388,0.3404,156011.11,53178.74
2018-09-01 03-AM,XRPUSD,0.339,0.3419,0.3382,0.3405,144279.18,49104.17
2018-09-01 02-AM,XRPUSD,0.337,0.34,0.337,0.339,65143.25,22037.26
2018-09-01 01-AM,XRPUSD,0.3367,0.339,0.3361,0.337,46799.39,15786.57
2018-09-01 12-AM,XRPUSD,0.3348,0.3382,0.334,0.3367,201235.8,67610.23
2018-08-31 11-PM,XRPUSD,0.3352,0.3372,0.3342,0.3348,102549.09,34410.15
2018-08-31 10-PM,XRPUSD,0.3354,0.3356,0.3336,0.3352,99853.6,33432.53
2018-08-31 09-PM,XRPUSD,0.337,0.3386,0.334,0.3354,291023.09,97641.66
2018-08-31 08-PM,XRPUSD,0.3365,0.3394,0.3365,0.337,86538.59,29239.51
2018-08-31 07-PM,XRPUSD,0.3367,0.3377,0.3355,0.3365,163126.75,54851.49
2018-08-31 06-PM,XRPUSD,0.3374,0.3411,0.3351,0.3367,623261.48,210944.07
2018-08-31 05-PM,XRPUSD,0.3325,0.3392,0.3321,0.3374,673339.9,226189.82
2018-08-31 04-PM,XRPUSD,0.3293,0.3335,0.3293,0.3325,481581.26,159593.44
2018-08-31 03-PM,XRPUSD,0.3291,0.332,0.3288,0.3293,389493.37,128770.78
2018-08-31 02-PM,XRPUSD,0.3288,0.3307,0.328,0.3291,227662.33,74984.45
2018-08-31 01-PM,XRPUSD,0.3283,0.3299,0.3281,0.3288,316027.31,103977.22
2018-08-31 12-PM,XRPUSD,0.3313,0.3317,0.327,0.3283,623046.73,204517.66
2018-08-31 11-AM,XRPUSD,0.3306,0.3333,0.3306,0.3313,152124.75,50542.3
2018-08-31 10-AM,XRPUSD,0.33,0.331,0.3293,0.3306,231400.78,76417.1
2018-08-31 09-AM,XRPUSD,0.3297,0.3305,0.3279,0.33,198405.42,65284.19
2018-08-31 08-AM,XRPUSD,0.3313,0.3321,0.3294,0.3297,808449.99,267916.78
2018-08-31 07-AM,XRPUSD,0.3339,0.334,0.3312,0.3313,110905.11,36927.4
2018-08-31 06-AM,XRPUSD,0.3337,0.334,0.332,0.3339,132306.91,44082.28
2018-08-31 05-AM,XRPUSD,0.3341,0.3344,0.3322,0.3337,211231.14,70445.08
2018-08-31 04-AM,XRPUSD,0.3328,0.3341,0.3315,0.3341,414360.66,138049.87
2018-08-31 03-AM,XRPUSD,0.3309,0.333,0.3305,0.3328,88550.19,29392.79
2018-08-31 02-AM,XRPUSD,0.3311,0.3336,0.33,0.3309,121360.56,40196.67
2018-08-31 01-AM,XRPUSD,0.3316,0.3321,0.3308,0.3311,51628.26,17118.52
2018-08-31 12-AM,XRPUSD,0.3348,0.3352,0.3314,0.3316,174675.53,58255.47
2018-08-30 11-PM,XRPUSD,0.333,0.3354,0.3316,0.3348,197680.13,66054.49
2018-08-30 10-PM,XRPUSD,0.3325,0.3352,0.3321,0.333,463241.01,154583.55
2018-08-30 09-PM,XRPUSD,0.3315,0.3365,0.3315,0.3325,1024608.15,342385.13
2018-08-30 08-PM,XRPUSD,0.3262,0.3343,0.3246,0.3315,1634693.07,541059.73
2018-08-30 07-PM,XRPUSD,0.3253,0.3278,0.3246,0.3262,162579.86,53029.06
2018-08-30 06-PM,XRPUSD,0.3275,0.3276,0.3242,0.3253,717927.78,233757.21
2018-08-30 05-PM,XRPUSD,0.3267,0.3293,0.3267,0.3275,129401.74,42437.07
2018-08-30 04-PM,XRPUSD,0.3275,0.3288,0.3254,0.3267,286686.77,93727.07
2018-08-30 03-PM,XRPUSD,0.3282,0.3307,0.3275,0.3275,800097.11,263526.78
2018-08-30 02-PM,XRPUSD,0.3273,0.3314,0.3258,0.3282,627829.34,206724.2
2018-08-30 01-PM,XRPUSD,0.3241,0.3286,0.323,0.3273,864764.24,281383.59
2018-08-30 12-PM,XRPUSD,0.3254,0.3288,0.322,0.3241,779304.41,253440.39
2018-08-30 11-AM,XRPUSD,0.3303,0.3306,0.3246,0.3254,776465.9,253170.02
2018-08-30 10-AM,XRPUSD,0.329,0.3314,0.327,0.3303,308562.51,101421.33
2018-08-30 09-AM,XRPUSD,0.33,0.3313,0.3274,0.329,1039982.78,342749.83
2018-08-30 08-AM,XRPUSD,0.3365,0.3365,0.33,0.33,2285194.46,758672.24
2018-08-30 07-AM,XRPUSD,0.338,0.3385,0.336,0.3365,211042.55,71222.68
2018-08-30 06-AM,XRPUSD,0.3377,0.3398,0.3371,0.338,168731.46,57080.79
2018-08-30 05-AM,XRPUSD,0.3404,0.3406,0.3376,0.3377,470057.26,159175.09
2018-08-30 04-AM,XRPUSD,0.342,0.3431,0.3396,0.3404,294917.54,100359.85
2018-08-30 03-AM,XRPUSD,0.3402,0.3425,0.3398,0.342,89981.83,30692.11
2018-08-30 02-AM,XRPUSD,0.3425,0.3428,0.3396,0.3402,524297.27,178770.69
2018-08-30 01-AM,XRPUSD,0.3457,0.3464,0.3422,0.3425,234297.5,80366.11
2018-08-30 12-AM,XRPUSD,0.3445,0.3469,0.3445,0.3457,72533.23,25075.67
2018-08-29 11-PM,XRPUSD,0.3459,0.3468,0.3425,0.3445,264650.1,91237.44
2018-08-29 10-PM,XRPUSD,0.3478,0.3482,0.3459,0.3459,59843.87,20766.77
2018-08-29 09-PM,XRPUSD,0.346,0.3484,0.3454,0.3478,225482.01,78365.04
2018-08-29 08-PM,XRPUSD,0.3435,0.3468,0.3435,0.346,208054.09,71848.99
2018-08-29 07-PM,XRPUSD,0.3433,0.3462,0.3419,0.3435,93152.5,32091.48
2018-08-29 06-PM,XRPUSD,0.3455,0.3462,0.3411,0.3433,225385.93,77229.5
2018-08-29 05-PM,XRPUSD,0.3437,0.3469,0.3437,0.3455,139365.4,48119.43
2018-08-29 04-PM,XRPUSD,0.3408,0.345,0.3383,0.3437,838601.85,286270.53
2018-08-29 03-PM,XRPUSD,0.3475,0.3491,0.3401,0.3408,804840.28,277130.81
2018-08-29 02-PM,XRPUSD,0.3523,0.353,0.3466,0.3475,597183.04,208842.89
2018-08-29 01-PM,XRPUSD,0.3505,0.3544,0.3505,0.3523,400599.86,141286.68
2018-08-29 12-PM,XRPUSD,0.3481,0.3536,0.3474,0.3505,520352.13,182168.5
2018-08-29 11-AM,XRPUSD,0.3459,0.3488,0.3449,0.3481,422410.26,146213.43
2018-08-29 10-AM,XRPUSD,0.349,0.3501,0.3452,0.3459,533882.62,185782.61
2018-08-29 09-AM,XRPUSD,0.3453,0.35,0.3444,0.349,424556.0,147019.45
2018-08-29 08-AM,XRPUSD,0.3433,0.3453,0.339,0.3453,1225737.03,418121.56
2018-08-29 07-AM,XRPUSD,0.3462,0.3462,0.3433,0.3433,348775.07,120299.8
2018-08-29 06-AM,XRPUSD,0.345,0.3479,0.345,0.3462,342769.33,118920.46
2018-08-29 05-AM,XRPUSD,0.3449,0.3456,0.3438,0.345,674281.37,232260.24
2018-08-29 04-AM,XRPUSD,0.3453,0.3468,0.3433,0.3449,1926781.52,663699.77
2018-08-29 03-AM,XRPUSD,0.3446,0.3475,0.3444,0.3453,605696.94,208928.56
2018-08-29 02-AM,XRPUSD,0.348,0.3498,0.3446,0.3446,265326.92,92045.85
2018-08-29 01-AM,XRPUSD,0.3492,0.3515,0.3471,0.348,411775.03,143602.05
2018-08-29 12-AM,XRPUSD,0.3505,0.3518,0.3485,0.3492,382357.07,134020.58
2018-08-28 11-PM,XRPUSD,0.3525,0.3543,0.3505,0.3505,1887444.04,663601.22
2018-08-28 10-PM,XRPUSD,0.3517,0.353,0.347,0.3525,649508.71,227234.07
2018-08-28 09-PM,XRPUSD,0.3507,0.3536,0.3507,0.3517,408305.08,143879.71
2018-08-28 08-PM,XRPUSD,0.3546,0.3575,0.35,0.3507,469631.41,166549.5
2018-08-28 07-PM,XRPUSD,0.3477,0.3557,0.3477,0.3546,1309913.43,461304.41
2018-08-28 06-PM,XRPUSD,0.346,0.3486,0.3446,0.3477,647946.17,224222.93
2018-08-28 05-PM,XRPUSD,0.3437,0.346,0.343,0.346,673192.99,231928.42
2018-08-28 04-PM,XRPUSD,0.347,0.347,0.3434,0.3437,364770.13,126049.22
2018-08-28 03-PM,XRPUSD,0.3484,0.3484,0.3433,0.347,1664480.12,575002.16
2018-08-28 02-PM,XRPUSD,0.3517,0.352,0.3462,0.3484,1166263.89,406500.63
2018-08-28 01-PM,XRPUSD,0.3489,0.3525,0.3488,0.3517,1490908.93,523311.14
2018-08-28 12-PM,XRPUSD,0.349,0.3496,0.346,0.3489,469594.78,163358.05
2018-08-28 11-AM,XRPUSD,0.3451,0.3495,0.3449,0.349,1045210.03,363801.65
2018-08-28 10-AM,XRPUSD,0.3432,0.3453,0.343,0.3451,225480.97,77715.77
2018-08-28 09-AM,XRPUSD,0.343,0.344,0.3421,0.3432,115048.08,39492.65
2018-08-28 08-AM,XRPUSD,0.3438,0.346,0.3414,0.343,1373084.79,472252.61
2018-08-28 07-AM,XRPUSD,0.3425,0.3469,0.3406,0.3438,609601.25,209672.76
2018-08-28 06-AM,XRPUSD,0.3401,0.3432,0.3401,0.3425,528284.08,180899.83
2018-08-28 05-AM,XRPUSD,0.3391,0.3413,0.3388,0.3401,603888.82,205512.41
2018-08-28 04-AM,XRPUSD,0.3372,0.3399,0.3371,0.3391,183006.38,61921.75
2018-08-28 03-AM,XRPUSD,0.3369,0.3395,0.3367,0.3372,153852.47,52044.84
2018-08-28 02-AM,XRPUSD,0.3406,0.3423,0.3361,0.3369,713456.86,243016.08
2018-08-28 01-AM,XRPUSD,0.3376,0.3423,0.3376,0.3406,1294638.15,440613.73
2018-08-28 12-AM,XRPUSD,0.3389,0.3395,0.335,0.3376,306358.13,103381.22
2018-08-27 11-PM,XRPUSD,0.3321,0.34,0.3315,0.3389,2410530.81,811459.89
2018-08-27 10-PM,XRPUSD,0.3287,0.3329,0.3287,0.3321,298464.93,98878.34
2018-08-27 09-PM,XRPUSD,0.3297,0.3302,0.3286,0.3287,86730.4,28551.83
2018-08-27 08-PM,XRPUSD,0.33,0.3306,0.329,0.3297,220728.35,72896.17
2018-08-27 07-PM,XRPUSD,0.3272,0.3303,0.3272,0.33,338519.45,111369.07
2018-08-27 06-PM,XRPUSD,0.3286,0.329,0.3268,0.3272,103969.01,34076.13
2018-08-27 05-PM,XRPUSD,0.3267,0.329,0.3267,0.3286,189357.08,62256.0
2018-08-27 04-PM,XRPUSD,0.3268,0.3273,0.3258,0.3267,959646.55,313346.83
2018-08-27 03-PM,XRPUSD,0.3269,0.3276,0.3264,0.3268,317325.84,103752.01
2018-08-27 02-PM,XRPUSD,0.3261,0.3278,0.3261,0.3269,238406.08,77870.63
2018-08-27 01-PM,XRPUSD,0.3254,0.3261,0.3247,0.3261,401002.45,130533.98
2018-08-27 12-PM,XRPUSD,0.3285,0.329,0.325,0.3254,920293.43,301180.5
