Date,Symbol,Open,High,Low,Close,Volume From,Volume To
2018-09-05 05-PM,BTCEUR,5949.63,5963.01,5915.1,5940,62.9,373149.42
2018-09-05 04-PM,BTCEUR,6016,6027.57,5891.76,5949.63,201.92,1202017.28
2018-09-05 03-PM,BTCEUR,6028.84,6040.5,5980.8,6016,111.75,671113.71
2018-09-05 02-PM,BTCEUR,6053.75,6061.6,6015.38,6028.84,91.4,551929.53
2018-09-05 01-PM,BTCEUR,6019.29,6062.2,6001.71,6053.75,189.79,1143405.69
2018-09-05 12-PM,BTCEUR,6031.51,6062.84,6001.05,6019.29,107.67,650260.15
2018-09-05 11-AM,BTCEUR,6028.8,6068.53,5945,6031.51,357.87,2150255.13
2018-09-05 10-AM,BTCEUR,6136.69,6194.89,5961.47,6028.8,489.22,2982683.17
2018-09-05 09-AM,BTCEUR,6367,6375,6112.2,6136.69,360.94,2243603.51
2018-09-05 08-AM,BTCEUR,6364,6385,6351.84,6367,28.59,182026.97
2018-09-05 07-AM,BTCEUR,6378.11,6378.11,6356.27,6364,48.23,306992.13
2018-09-05 06-AM,BTCEUR,6350.82,6378.12,6344.69,6378.11,30.7,195345.27
2018-09-05 05-AM,BTCEUR,6346.89,6364.8,6342.08,6350.82,11.05,70220.65
2018-09-05 04-AM,BTCEUR,6345.02,6356.76,6335.07,6346.89,7.35,46617.56
2018-09-05 03-AM,BTCEUR,6361.49,6361.49,6340.14,6345.02,12.05,76531.78
2018-09-05 02-AM,BTCEUR,6364.49,6365,6342.51,6361.49,12.84,81686.27
2018-09-05 01-AM,BTCEUR,6359.85,6364.99,6350.04,6364.49,34.71,220762.85
2018-09-05 12-AM,BTCEUR,6349.15,6360,6340,6359.85,22.94,145857.53
2018-09-04 11-PM,BTCEUR,6352.2,6353.9,6330.36,6349.15,59.54,378000.11
2018-09-04 10-PM,BTCEUR,6353.36,6359.54,6331.55,6352.2,54.37,345346.98
2018-09-04 09-PM,BTCEUR,6345.35,6364.95,6337.07,6353.36,28.44,180706.47
2018-09-04 08-PM,BTCEUR,6350.94,6355,6333.75,6345.35,32.51,206279.42
2018-09-04 07-PM,BTCEUR,6351.06,6365.05,6330,6350.94,35.9,227859.03
2018-09-04 06-PM,BTCEUR,6373.97,6388,6327.96,6351.06,217.11,1381869.63
2018-09-04 05-PM,BTCEUR,6364.23,6375,6346.29,6373.97,67.75,430967.33
2018-09-04 04-PM,BTCEUR,6380.95,6380.95,6350,6364.23,36.04,229382.26
2018-09-04 03-PM,BTCEUR,6367.85,6389.99,6360.4,6380.95,114.73,731671.69
2018-09-04 02-PM,BTCEUR,6374.91,6400,6367.1,6367.85,34.78,222220.88
2018-09-04 01-PM,BTCEUR,6366.8,6388.85,6350.09,6374.91,53.25,339393.54
2018-09-04 12-PM,BTCEUR,6345,6398.39,6345,6366.8,259.05,1652211.77
2018-09-04 11-AM,BTCEUR,6322.27,6350,6321.89,6345,129.33,819216.47
2018-09-04 10-AM,BTCEUR,6297.91,6325,6297.91,6322.27,57.55,363304.18
2018-09-04 09-AM,BTCEUR,6286.79,6305.56,6284.88,6297.91,62.49,393445.79
2018-09-04 08-AM,BTCEUR,6309.51,6323.68,6285.07,6286.79,36.02,227057.78
2018-09-04 07-AM,BTCEUR,6287,6309.51,6272.56,6309.51,29.8,187349.3
2018-09-04 06-AM,BTCEUR,6259,6301.8,6256.43,6287,27.28,171407.61
2018-09-04 05-AM,BTCEUR,6246.15,6266.51,6243.26,6259,10.21,63864.53
2018-09-04 04-AM,BTCEUR,6264.43,6267.88,6230,6246.15,9.76,60914.59
2018-09-04 03-AM,BTCEUR,6275.4,6275.4,6254.96,6264.43,11.0,68878.66
2018-09-04 02-AM,BTCEUR,6261.71,6281.68,6256.62,6275.4,32.44,203267.28
2018-09-04 01-AM,BTCEUR,6265.68,6278.92,6247.47,6261.71,11.38,71241.36
2018-09-04 12-AM,BTCEUR,6242.51,6265.69,6237.94,6265.68,6.7,41871.42
2018-09-03 11-PM,BTCEUR,6240,6260.69,6223.04,6242.51,11.19,69819.25
2018-09-03 10-PM,BTCEUR,6292.18,6303.62,6240,6240,41.83,262947.73
2018-09-03 09-PM,BTCEUR,6290.06,6292.88,6263.71,6292.18,37.85,237580.11
2018-09-03 08-PM,BTCEUR,6295,6300,6268,6290.06,42.74,268556.94
2018-09-03 07-PM,BTCEUR,6271,6312.49,6250,6295,88.14,554024.21
2018-09-03 06-PM,BTCEUR,6267.74,6272.87,6245.52,6271,29.2,182851.42
2018-09-03 05-PM,BTCEUR,6250,6279.47,6238.26,6267.74,56.23,352320.73
2018-09-03 04-PM,BTCEUR,6269.84,6269.84,6234.5,6250,21.53,134501.32
2018-09-03 03-PM,BTCEUR,6264.56,6273.9,6240,6269.84,32.65,204148.27
2018-09-03 02-PM,BTCEUR,6259.78,6277,6249.99,6264.56,52.3,327427.5
