Date,Symbol,Open,High,Low,Close,Volume From,Volume To
2018-09-05 05-PM,ETHEUR,210.77,211.38,206.26,210.35,1253.95,261046.05
2018-09-05 04-PM,ETHEUR,220.54,221.22,209.01,210.77,1471.43,313475.08
2018-09-05 03-PM,ETHEUR,222.47,223.53,218.5,220.54,1093.39,241344.98
2018-09-05 02-PM,ETHEUR,225.27,225.27,222.25,222.47,351.27,78450.46
2018-09-05 01-PM,ETHEUR,222.4,225.39,221.22,225.27,700.38,155900.52
2018-09-05 12-PM,ETHEUR,222.35,224.41,220.69,222.4,721.27,160747.53
2018-09-05 11-AM,ETHEUR,219.38,223.34,217.87,222.35,1735.95,382889.47
2018-09-05 10-AM,ETHEUR,229.25,231.75,216.46,219.38,3736.5,842290.64
2018-09-05 09-AM,ETHEUR,245.2,245.2,229.25,229.25,2695.24,634362.25
2018-09-05 08-AM,ETHEUR,245.27,245.35,244.06,245.2,219.8,53845.86
2018-09-05 07-AM,ETHEUR,245.45,245.92,244.97,245.27,44.01,10799.92
2018-09-05 06-AM,ETHEUR,245.65,245.97,245,245.45,19.17,4707.43
2018-09-05 05-AM,ETHEUR,244.4,245.97,244.2,245.65,115.98,28405.8
2018-09-05 04-AM,ETHEUR,245.07,245.07,244.13,244.4,13.94,3409.09
2018-09-05 03-AM,ETHEUR,246.25,246.25,244.63,245.07,100.89,24724.45
2018-09-05 02-AM,ETHEUR,247.14,247.14,246.25,246.25,13.21,3253.69
2018-09-05 01-AM,ETHEUR,247.14,247.14,247.14,247.14,0.0,0.0
2018-09-05 12-AM,ETHEUR,246.07,247.53,246.02,247.14,66.26,16317.13
2018-09-04 11-PM,ETHEUR,246.32,246.32,245.77,246.07,34.34,8452.58
2018-09-04 10-PM,ETHEUR,246.46,246.51,245.3,246.32,39.08,9613.81
2018-09-04 09-PM,ETHEUR,246.63,247.73,245.21,246.46,1131.1,278537.57
2018-09-04 08-PM,ETHEUR,244.78,246.64,244.01,246.63,401.42,98440.41
2018-09-04 07-PM,ETHEUR,246.82,247.26,244,244.78,505.79,124534.42
2018-09-04 06-PM,ETHEUR,249.9,250,246.59,246.82,307.28,76437.14
2018-09-04 05-PM,ETHEUR,248.37,249.9,248.19,249.9,191.77,47752.11
2018-09-04 04-PM,ETHEUR,249.37,249.93,248.15,248.37,155.83,38820.43
2018-09-04 03-PM,ETHEUR,250.15,251.12,249,249.37,281.36,70324.64
2018-09-04 02-PM,ETHEUR,249.9,251.73,249.64,250.15,303.01,75934.98
2018-09-04 01-PM,ETHEUR,249.64,250.4,248.45,249.9,229.91,57345.63
2018-09-04 12-PM,ETHEUR,248.89,252.77,248.89,249.64,669.36,168205.55
2018-09-04 11-AM,ETHEUR,248.14,249.41,247.85,248.89,282.03,70167.08
